PV_Panels,bomCost,Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,Angle,BattCap,BattX,BattZ,CompX,CompZ,GyroSize,GyroX,GyroZ
2,209066.0,1167.97948022,2002.80090803,940.57752899,171747613555.0,0,59447419967.1,34283310129.3,78016883458.6,6035.239756344258,None,None,None,None,None,None,None,24.728243575,107.421723236,443.322360936,44.1746858756,500.382650557,442.83520736,86.5800242067,746.204808485,178.481384106
2,209066.0,1124.74658696,1985.62221997,888.375952281,336296405833.0,0,60970561348.7,114968566474.0,160357278010.0,6035.239756344258,None,None,None,None,None,None,None,167.326766935,198.52406101,335.195546972,237.547908747,98.0953689829,135.101150919,951.874908497,346.682541433,134.966556491
2,209066.0,1425.94996957,1972.24254995,1226.82121753,240308779376.0,3,58174782415.1,70030056784.9,112103940176.0,6035.239756344258,None,None,None,None,None,None,None,73.0606366823,145.540176386,100.223524008,274.748542048,975.257880759,144.728642465,89.6349172091,982.051128064,238.507785293
2,209066.0,1121.99902011,1970.24709353,854.488985977,339439944658.0,0,62647776136.1,115354404200.0,161437764323.0,6035.239756344258,None,None,None,None,None,None,None,176.096951507,345.542549864,134.273122629,274.626594985,220.87129059,286.962901656,283.529401297,194.55979052,303.735335801
2,209066.0,1130.25435773,2028.4435371,953.835869228,331313302405.0,0,59226091582.6,114113981750.0,157973229073.0,6035.239756344258,None,None,None,None,None,None,None,152.181090203,195.847180663,710.28235129,185.949681493,327.965926922,388.772306177,88.4950606595,664.005454473,41.2660196997
2,209066.0,1198.87426037,2047.01595977,866.204668772,271193733537.0,0,57235826225.6,86034243051.4,127923664260.0,6035.239756344258,None,None,None,None,None,None,None,103.234394662,178.157686551,420.59142405,204.709413783,573.367905455,137.852290509,535.34515938,25.7647730448,40.3579372411
2,209066.0,1191.42553967,2034.69083467,878.865402703,322480976933.0,0,58791217503.8,110162931440.0,153526827989.0,6035.239756344258,None,None,None,None,None,None,None,146.686925198,431.414342542,54.2465706616,296.617348137,172.908695752,485.888836052,910.659171321,335.814845934,3.67687134402
2,209066.0,1154.07643036,1996.30535952,880.201146806,336224999278.0,1,60206091897.6,116429732659.0,159589174722.0,6035.239756344258,None,None,None,None,None,None,None,153.694812117,114.122046311,588.102501208,171.881149611,779.018224466,46.1622351588,478.904477529,784.539463502,369.124468792
2,209066.0,1163.68633547,2019.08835765,1096.85927786,342267596592.0,0,61492133901.2,117365193261.0,163410269430.0,6035.239756344258,None,None,None,None,None,None,None,171.841596982,330.20293723,867.690128977,294.322231634,202.172468889,100.192070287,946.499566312,643.758605085,71.5655033954
2,209066.0,1216.69536352,2069.45082076,952.213164072,209954988215.0,1,58467280041.2,54407294277.9,97080413896.4,6035.239756344258,None,None,None,None,None,None,None,59.2905866095,438.875869488,788.189264203,51.5988517405,908.362880762,463.628233843,879.520027478,334.710335517,194.092601951
2,209066.0,1158.91707791,1972.8280104,925.107595539,195204006337.0,0,58696234245.3,46624762031.6,89883010060.5,6035.239756344258,None,None,None,None,None,None,None,47.0724395839,404.918814763,830.208672632,35.8223061573,465.299677479,48.6865426373,619.057965818,544.211009177,118.853203882
2,209066.0,1124.47490389,2010.63974885,939.360349565,319655786140.0,0,58375163172.5,109292014677.0,151988608290.0,6035.239756344258,None,None,None,None,None,None,None,138.949773867,490.345871747,645.184092813,79.0014089559,245.639151806,62.8240651936,968.751087187,630.943986862,178.203368886
2,209066.0,1123.51827388,2158.78265717,1179.60351206,254257931077.0,1,57576527936.2,77441381907.2,119240021233.0,6035.239756344258,None,None,None,None,None,None,None,90.9293257205,248.162459338,192.934037189,143.258584068,984.096866594,350.685253092,693.61610926,116.3119628,188.229346275
2,209066.0,1193.49408187,2070.90994158,1078.03350381,209614724699.0,1,59438995400.7,54197097615.7,95978631682.7,6035.239756344258,None,None,None,None,None,None,None,58.1013032363,288.253478568,308.517462631,20.4749831155,932.910338417,243.611201591,925.961061149,322.940203832,432.567336827
2,209066.0,1185.78867528,2069.8263722,888.441585639,185432531461.0,2,60632218387.6,41261884908.9,83538428165.0,6035.239756344258,None,None,None,None,None,None,None,30.6604852531,203.349194401,656.327638777,233.328522759,543.241536078,0.863505028001,610.045230878,951.949933537,486.907388733
2,209066.0,1358.5448162,2042.85669924,924.826223846,257365261206.0,0,57751332476.0,79019387874.7,120594540855.0,6035.239756344258,None,None,None,None,None,None,None,92.4200607093,289.76855991,880.981679616,167.501482812,628.382107386,430.174283883,117.574905328,116.998769578,254.530965091
2,209066.0,1208.67595514,2045.89826296,947.408913785,186958602210.0,0,59808159222.8,42213839798.2,84936603189.3,6035.239756344258,None,None,None,None,None,None,None,37.6841570153,430.387442012,341.173689412,97.6149809071,161.894333119,475.692436367,950.414658463,704.003467864,371.206129144
2,209066.0,1129.84331942,2019.33328427,984.503688682,220300656984.0,0,58106394530.9,59821928562.4,102372333891.0,6035.239756344258,None,None,None,None,None,None,None,66.5707005546,334.051469473,499.575651929,234.965244708,12.1294855068,330.588191054,194.178418742,403.361514837,121.436542296
2,209066.0,1129.97097692,1997.72760132,974.346351277,203152443879.0,2,58823179306.4,50635149067.4,93694115505.4,6035.239756344258,None,None,None,None,None,None,None,48.1869204166,170.495844754,986.126790278,88.8848457236,573.947374209,327.5455698,455.611541604,875.910022346,190.308081492
2,209066.0,1126.27406638,2019.37976133,985.910035533,346930895613.0,3,61213052355.3,119890344896.0,165827498362.0,6035.239756344258,None,None,None,None,None,None,None,170.396634773,315.603565145,996.833583447,86.1029810175,511.134799059,202.787551584,349.123749922,909.053656234,6.17828537732
2,209066.0,1185.63510527,1979.85801855,946.106274748,329425312204.0,2,59904661622.9,113987630010.0,155533020570.0,6035.239756344258,None,None,None,None,None,None,None,141.870504757,55.2920001663,948.680871551,114.743131366,658.854188845,412.430176952,621.230388076,840.915859065,488.530911971
