AverageAngleError,BattCap,D_CtrlGain,GyroSize,Inertia,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxGyroTemp,MaxTemperature,MinBatteryCharge,MinBusVoltage,P_CtrlGain
0.00213898119334,192.177389068,2.3058367213,1294.38935438,4651.05043261,0.0936012872047,17.6575059435,0.0739280752581,127.540117521,120.295539305,100,15.6911671703,0.695337094721
0.00690643823188,64.9307847045,0.429252283695,2064.99020416,6970.56172998,0.201223814956,17.5624107329,0.0152055991135,81.9105029647,80.4744829764,100,14.3411288331,2.2464550114
0.0219408075496,304.249318166,2.52414023212,494.130635933,4992.3005303,0.634301955408,17.7162037426,0.0834582623558,132.161858044,123.98026841,100,16.087430033,5.02462700146
0.0262404192479,167.592409344,2.13955946665,175.695985345,6196.98229832,0.755926374535,17.6404426598,0.0716013178374,125.766997172,118.840315421,100,15.5320931322,5.80141929678
0.00945658829215,370.826664237,1.62136195653,106.380482259,5821.32117841,0.273252266167,17.7401891828,0.0527243032661,114.728106057,109.680554504,100,16.2394017002,2.73437377228
0.00329991724467,144.600009875,1.99473169927,1394.08343155,5927.8631272,0.0995117952744,17.6230937796,0.0637354706804,122.136388762,115.89795246,100,15.394887865,0.42061426931
0.0157756045762,77.2808514484,0.445419484907,1970.46617274,5801.5030667,0.455968080651,17.5699453917,0.0168561092398,84.377616874,82.7752460669,100,14.585460676,3.86282674508
0.0014391345082,299.339486596,2.79561167614,278.098478485,6059.74152945,0.12062545189,17.7141705962,0.0887623834536,134.682485657,125.946267336,100,16.0895380253,0.908860708736
0.00185344337706,215.273086775,2.25194893296,1346.96812666,4538.30157038,0.116185001201,17.6719957211,0.0726038492619,126.85398504,119.742606406,100,15.7942277532,1.25656305287
0.00789050009902,23.6618491509,2.63746522621,1573.51898678,5268.20216394,0.29041898669,17.5525161232,0.0858145762306,133.274410401,124.86344631,100,12.6551080794,2.37844830015
0.0192290521608,313.655820429,2.75542534469,2976.731022,5934.57127631,0.579951918291,17.7199871496,0.0912401465591,135.709559677,126.774749956,100,16.1133038423,4.50097969719
0.00436867922881,70.1696681102,2.5640308349,1908.52360512,4958.2316509,0.19802328786,17.5653771602,0.0830310548994,131.980895284,123.841974787,100,14.4892723191,1.71879006586
0.00535331283316,394.439212383,0.161462821723,1422.91288331,5609.8197543,0.157847739329,17.7473500413,0.0065911436485,67.0878747366,66.5033537951,100,16.2847231632,1.95745660108
0.0110130198271,304.752135928,1.92635554161,845.819617635,5177.29946314,0.327634313551,17.7164096491,0.0632299293755,121.799960063,115.622484942,100,16.0890692506,3.01010571018
0.0184942125004,153.744328753,1.06136739178,1043.03027411,6285.98519007,0.530865464267,17.6301641496,0.0365811734158,104.294727474,100.749774937,100,15.4336351334,4.36981998898
0.00663177852355,189.956976034,2.22131456912,2729.06487495,5304.40202129,0.2352338254,17.6559963968,0.0723508371218,126.70071928,119.62172631,100,15.6655887832,2.16839563554
0.021529277412,25.9999770893,1.01559377202,775.342492575,5931.15412652,0.618273965035,17.5525337659,0.0354495564124,103.411732955,99.9755578416,100,12.7894908979,4.9217664113
0.000426087525605,204.489243225,1.33442259818,1707.59035273,6603.29199237,0.0291824985995,17.6654089374,0.0430649951441,109.192727892,105.000436392,100,15.7401633466,1.05457621839
0.00800147964445,106.051784041,1.09249739963,72.3754888278,4064.26562922,0.229497786414,17.5919422684,0.0356224197906,102.455295061,99.1788785825,100,15.004521654,2.45919107921
0.0165151751755,211.132142768,2.83387396432,1217.33961934,6118.47308623,0.51675778259,17.6694999808,0.093215793976,136.604472453,127.466759305,100,15.766056154,3.98623040106
0.0160688019961,390.925064187,0.179230627798,1681.53598487,4599.8374089,0.465753475883,17.7463230867,0.0087175399998,71.5943403368,70.8256382963,100,16.2742904388,3.91104975522
0.020830532191,319.121003475,2.32199488464,1498.08860866,4318.89390125,0.601729117043,17.722119819,0.0773432173026,129.184098171,121.621201771,100,16.1257509649,4.81954298386
0.00401226425379,71.8564345951,2.53913004603,1890.17440913,6946.69613551,0.120545168449,17.5664546648,0.0812532177381,131.161999798,123.191633459,100,14.5427657546,0.315517614066
0.00269798921774,273.366958044,1.09140727693,963.800409424,5572.85213988,0.0776213729441,17.7027037566,0.0355417760829,103.477447475,100.028270818,100,16.0013646169,1.49317885944
0.0176186573683,323.704011462,1.60097334593,2846.64593444,6321.39727018,0.506907552791,17.7238756569,0.0538400143137,116.27741378,111.034830358,100,16.1352345832,4.22068893477
0.00430070216807,247.809835621,0.572946412346,786.623480674,4306.86895709,0.131679903122,17.6901266337,0.0182662484038,86.2546808287,84.5045193189,100,15.9234968731,0.21916233782
0.000705585305832,101.936455336,2.01266463897,1712.18099461,4989.93516547,0.0674582508346,17.58861525,0.0647451588586,122.683819133,116.348783805,100,14.9794026707,0.971732742519
0.000476393303236,57.6711884331,1.32634174133,807.679163944,4642.36517634,0.0230789391112,17.5588361954,0.0426180346883,108.863663012,104.713211314,100,14.1895058089,0.936554781986
0.00222797019006,284.573499729,0.22948446661,1032.19804684,6200.63738436,0.0676409703765,17.707802798,0.00827337228705,70.5759648053,69.8465949371,100,16.0341016652,1.3889203844
0.00225187816774,31.7321758048,1.27495974663,1070.99575799,4293.57431493,0.0718852042674,17.5527363107,0.0413454277404,107.936312454,103.914404858,100,13.1777697254,1.40559992204
0.0153175217495,309.463904729,0.879007707486,48.3857877655,6760.46604878,0.440565485436,17.7183188674,0.0292110621691,97.4502101221,94.7551165908,100,16.0982903318,3.78767999528
