Angle,AverageAngleError,BattCap,BattX,BattZ,bomCost,CfgID,CompX,CompZ,D_CtrlGain,Dist_1_2,Dist_1_3,Dist_2_3,GUID,GyroSize,GyroX,GyroZ,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxGyroTemp,MaxTemperature,MinBatteryCharge,MinBusVoltage,P_CtrlGain,PV_Panels
179.502227579,0.002389053651,589.147793298,529.472164938,59.8714988545,224066.0,cfg1,12.1256645916,493.660400477,0.478410685956,2274.02633147,1438.06556201,937.187394597,b0f6342d-c4d0-4e8d-9088-f2117dc12f49,2704.41203877,964.273398107,67.9385002857,346875.922473,2,61139.1331185,119951.281998,165785.507357,5708.497431729952,0.0707262475324,17.4567665251,0.912102174434,517.994287284,323.302355938,100,15.9204828477,1.42363088625,2
179.824199984,0.00390820847814,376.075743558,71.6900252621,40.847122397,224066.0,cfg1,44.480865535,465.064392475,2.70422439322,1991.9783362,1376.01571514,776.65991953,799c3fb5-4040-4ada-9ca8-bb992042b6c3,1874.61289634,652.952307268,232.305182443,333080.290409,0,57356.4184885,117124.87324,158598.99868,5648.215438418342,0.197148038311,17.3342868837,3.14291121423,1335.07224623,432.107743532,100,15.5139894853,1.61686741556,2
179.431547732,0.00487386259495,428.443814474,98.4845177786,248.061494681,224066.0,cfg1,553.709558148,402.40876594,0.430915788626,2066.51134724,1618.704333,808.426197945,dd3a47da-1b28-41f1-9897-3f41f7ca6f3e,2625.33215112,974.817957877,151.693097418,346497.814785,2,60840.2790474,120177.849563,165479.686175,5702.752555633323,0.142177643518,17.3729368372,1.30855393805,592.045022038,335.738646741,100,15.7860219371,1.87565257696,2
179.664778659,0.00117779295974,112.515155884,758.057042614,114.695913913,224066.0,cfg1,733.538697686,464.273427089,0.480785063734,1966.72728454,1358.38328864,738.44809361,de13e543-76b2-40f9-bfe6-304a0eed5525,2353.73491434,864.698437455,448.956220104,343614.153264,2,60575.6100508,120073.347457,162965.195756,5683.021970273934,0.0385768961729,16.9091790784,0.726568613587,505.493601398,313.820227552,100,14.7628154593,1.19265675525,2
179.212394333,0.00789604656133,351.400146126,833.055960106,91.231022012,224066.0,cfg1,605.03193238,308.842549734,0.148456920604,2016.08599082,1530.19312224,722.39167646,eb443112-fc3a-4223-866b-51a68a3c7712,2198.33564886,45.1464023436,347.925692361,332123.592857,0,59237.3264698,115164.059868,157722.20652,5671.7327594236485,0.229968514735,17.313204861,1.9962728963,710.504991905,355.623816117,100,15.6697287068,2.42026338769,2
179.954770312,0.0104648515458,722.440426113,189.589001403,31.0039393717,224066.0,cfg1,705.531168606,313.310717114,0.961949579125,1998.17698486,1517.65793247,876.580536321,eb711d59-f1a7-4cee-a59c-dbaa41a9ceae,2545.58871444,782.008194137,412.15651499,343503.869184,1,61384.4384475,119010.498134,163108.932603,5696.959475030359,0.299736953345,17.5026738322,3.80158496178,876.167676184,363.622854989,100,15.8983383524,2.9051983204,2
179.570697927,0.0057879871514,402.779541607,913.710161106,66.0330332393,224066.0,cfg1,14.3902746162,75.8143815833,0.387700731835,2159.81302905,1343.29240214,1109.67199343,332b248d-61aa-4b0e-9978-3ae83a695138,2504.07064677,854.006011588,177.28929075,342796.285406,1,60265.6602969,118923.059653,163607.565456,5693.9433332321405,0.168557456128,17.3549350621,1.47123019617,621.682522255,339.903071057,100,15.7529508305,2.04135083201,2
179.521375683,0.00992471187987,734.079669465,641.973426446,116.740317804,224066.0,cfg1,594.101873131,304.550458288,2.21236659409,1844.7462252,1215.35975143,678.280424666,d78c92f3-0b44-4025-8414-c02446d83a77,1616.00639488,454.629398236,282.527010543,328389.082159,0,56227.5469655,116047.260068,156114.275125,5629.428584354224,0.320521110092,17.506018339,4.71239178406,1164.4663199,396.548712551,100,15.8304702796,2.78390272498,2
179.066041904,0.00852229702087,38.8711079321,945.403948599,259.368938331,224066.0,cfg1,429.446751636,46.5015093508,0.286828299956,2001.06943332,1491.61531275,856.752222885,d3a6e9a4-d04d-46b0-a329-ceafdf77a55d,2575.64997772,344.811872947,50.4134782949,335843.9738,0,60386.8378399,115157.159933,160299.976028,5699.1433202273,0.247424512333,16.6769854106,2.24013968201,732.759021954,356.103616914,100,12.9587515858,2.53762278897,2
179.358362474,0.0017940775891,91.9820969964,488.559642132,130.147232806,224066.0,cfg1,374.546472221,260.010791094,2.77817282784,1997.46127562,1383.00399818,672.579769756,c89383a8-0b15-4cc3-a417-880ea1f8bf83,2441.34703519,101.295846536,175.826854714,333448.739412,0,59925.6849271,114596.38816,158926.666325,5689.386683145686,0.123787782545,16.8442853909,2.115182481,1378.77377377,445.656369719,100,13.6102595677,0.834205510352,2
179.608656336,0.00703265256242,540.08077386,939.47959501,223.344274237,224066.0,cfg1,739.906041928,395.972183118,2.1317873946,1844.08525856,1203.48166072,701.519777351,f898d40e-23aa-43ca-9cb9-a6a6d5101689,1629.71331979,813.218284532,335.01619632,334391.338403,1,56509.9251245,118971.512539,158909.90074,5630.4243443086025,0.243320560334,17.4353458904,3.65003590854,1079.42625127,393.241290766,100,15.7760985454,2.2462172241,2
179.307609909,0.00233150838338,646.235196533,182.603902453,34.7681740344,224066.0,cfg1,696.00711647,246.232250826,2.65347087553,1896.48654188,1227.02337408,854.868361759,27b3fbe8-f815-40de-a1a6-7b6d6c2617de,1700.78057844,294.342457448,246.37306327,327444.946134,1,56475.8033613,115208.10511,155761.037663,5635.587131049679,0.152802830736,17.4783249937,2.48666032246,1267.78712848,428.441352769,100,15.8424766888,1.30779514374,2
179.574379788,0.00257642121518,656.586671323,600.245048863,131.250568385,224066.0,cfg1,15.3659296551,99.9425913477,1.99574782518,1974.77501151,1218.94341935,874.965012735,54c6c2a9-0961-4b76-9cea-69157d62134d,1780.72108466,659.361582292,89.3213070798,331699.88518,0,56574.244852,116918.659207,158206.981121,5641.394528062827,0.0783924775988,17.481905488,1.3794023122,892.425146581,395.016101251,100,15.9075309902,0.565005492904,2
179.116733765,0.00433328278392,501.393683105,554.653663531,8.3519858877,224066.0,cfg1,926.038240321,475.088599221,2.99363323372,2023.68508856,1278.23834749,882.195879668,772dbebb-14c6-44e2-b9ad-32df1575b010,1789.8372542,207.218552984,178.387564449,327551.770864,1,56715.3901682,114867.717738,155968.662958,5642.056785762356,0.224538353732,17.4161817319,3.5486988504,1468.41306789,444.516773607,100,15.6378182537,1.67619080864,2
179.75359884,0.0101040286614,67.7989039275,8.46508718693,209.573889078,224066.0,cfg1,783.589231829,29.4303723682,1.0262150984,1954.05415582,1269.33583023,1027.50626578,f6c91754-13ab-4885-9319-ffc438a843a9,1663.07323051,332.490990144,479.728313724,329479.862122,1,57365.7898488,116338.134979,155775.937295,5632.847824657033,0.289748161466,16.7625263087,3.56514722862,815.326776842,352.194019591,100,13.8600336544,2.84073413496,2
179.523859592,0.00786599670325,122.08468465,293.899915655,268.246241653,224066.0,cfg1,744.638294661,9.89849483709,1.70199985935,1964.88304424,1254.38072096,832.110956901,54a787f6-5f10-4955-b88a-463d721c578a,1968.28570797,378.120200548,361.814825897,331594.800832,1,58212.2356152,115975.748947,157406.81627,5655.020439189758,0.238653937941,16.9373029952,3.58011252985,931.898550971,369.794358992,100,14.5900716581,2.43042307481,2
179.512092163,0.00586180727313,522.583296979,970.695918626,156.304546646,224066.0,cfg1,804.547323872,235.269666755,0.196025268811,2042.13061516,1397.31341761,675.530047986,6cbe60ce-70ae-44d5-bc88-a2614041252c,2777.74982163,955.921678011,355.535165123,349161.632292,3,62253.2906812,120714.321055,166194.020556,5713.825164080647,0.171597170719,17.4269516328,1.74685601783,654.032278309,348.802610673,100,15.8617633613,2.05046772854,2
179.219555049,0.00232146543921,27.4050162758,714.69254892,142.638182968,224066.0,cfg1,272.827127058,257.479421963,2.78718774635,2008.14789885,1411.50520581,794.313263902,13719400-8fc7-4ff5-93c6-9c2ac3677b99,2611.50276323,361.62379228,318.665420457,337502.013998,0,61201.3261003,115781.314814,160519.373084,5701.747899174147,0.127033875978,16.6589409101,2.25487953556,1402.62952806,449.280645105,100,9.16777222332,0.719872721529,2
179.474647107,0.00105014463704,387.462886566,263.32979785,274.117378276,224066.0,cfg1,601.116063516,79.4345807888,2.48406739453,1951.00134636,1248.33776122,757.958411069,108ceca9-25bc-4f14-882d-72ef1e4bd1bc,1950.17022717,230.759045522,358.915179552,330296.580076,0,58106.7634884,115421.144659,156768.671928,5653.704413134216,0.10156069705,17.3433480372,1.68514673811,1190.45303881,424.814157427,100,15.6172557734,0.960519283432,2
179.462521596,0.00245167677466,251.188295768,293.1498524,54.1851566143,224066.0,cfg1,399.691640867,97.6046852291,0.823290771788,1987.097174,1345.81249135,660.103331422,a7e3c794-77ff-45e5-9723-01fca7da6029,2443.87621691,315.124174046,275.475418462,335050.098476,0,60216.7953423,115369.215419,159464.087715,5689.570419314799,0.0709000522434,17.2003659965,0.718573378387,495.660522727,316.123740491,100,15.4847104798,1.44277483338,2
179.72534512,0.00508417577948,240.885807168,721.130605073,164.682343236,224066.0,cfg1,933.045711851,367.930591972,2.42513832432,1925.35438751,1266.13347367,713.24460257,ff0366f4-e3ac-4833-afc7-5669033f543e,2059.22317403,756.897729695,242.981054083,336899.040317,1,58263.4707748,118157.938284,160477.631259,5661.626726712104,0.210863051499,17.1854570866,3.32009259578,1236.21870182,418.824474591,100,15.176901947,1.86129346299,2
179.08308707,0.0110413497095,504.582877269,142.631010675,122.541666636,224066.0,cfg1,319.754501,175.443645673,2.52705373978,1908.61040527,1351.52580022,675.774629748,4f4fc7ba-8de1-4ba6-9e06-04637847f351,1738.3400965,644.77436192,455.773509853,333292.036204,0,57493.5345225,117986.813925,157811.687756,5638.31569812183,0.366691969303,17.4178469061,5.51721440831,1358.97058261,417.852113714,100,15.6040756219,2.97365921506,2
179.591780885,0.0011960819049,692.057564138,817.002332154,38.2914558582,224066.0,cfg1,601.837663453,42.1429755198,0.125142612766,2058.20457732,1467.75142836,684.69750172,4b89cc6d-2f7f-4948-b1c7-0ceabe3ea9e1,2772.17721845,395.107078542,295.765747612,339430.22964,0,61985.856536,115865.85367,161578.519435,5713.420334031593,0.0783636382427,17.4934995776,1.30925280783,616.724171917,312.089057562,100,15.9777673714,0.842858548632,2
179.351008058,0.00172534951587,275.305432145,311.225308303,117.361476758,224066.0,cfg1,989.213371063,2.14115347148,0.949025400832,2148.83048512,1459.0676255,946.278783522,a5e9bfca-20a2-47ad-9565-88abd5788579,2842.63200532,535.244376329,486.269869834,343483.088526,1,63229.2563022,117561.711824,162692.1204,5718.538626849558,0.0495135905912,17.2324487936,0.633085801127,496.485638703,317.777001428,100,15.5470946614,1.31304799242,2
179.898257181,0.00164697960166,651.89457966,478.119649246,254.06665542,224066.0,cfg1,229.471447411,3.74380425425,2.64206994377,2063.45555429,1365.77750645,739.586004526,bbc4f23c-bebe-4fb0-8918-62f8bedcbda9,2648.61298083,566.931372336,316.947996079,340220.970661,0,61482.1423471,116852.319274,161886.50904,5704.443826146072,0.114194860658,17.4802941113,1.99850784495,1341.43082355,442.343294304,100,15.8356533438,0.848849549675,2
179.577654799,0.0027922739239,131.926383831,911.844217447,261.656693092,224066.0,cfg1,785.121454376,419.734929103,1.81863905274,1977.64482519,1319.84321068,680.843144476,5f38362c-2b18-469f-81f8-d72778bae3d5,2264.28589446,755.468261713,76.35896587,338297.647759,1,58938.2950445,117872.41414,161486.938575,5676.523813139003,0.0838981285574,16.9647473134,1.27177352962,831.525425663,389.101724117,100,14.758272171,0.509512086526,2
179.912593061,0.00387272385044,556.822880367,895.82161644,71.8366691703,224066.0,cfg1,633.62308051,89.329013074,2.02549838879,1904.19164284,1369.86609213,701.109160074,22281440-7d62-4daf-9c9e-8946d47d4855,1792.71033278,280.555694633,183.836421014,328173.733715,0,56833.8275887,115049.275039,156290.631088,5642.265504830817,0.115737386075,17.4429970351,1.59503742225,894.974311864,399.049019384,100,15.8493879313,0.317260453784,2
179.115905867,0.0019970987935,322.609909786,247.364749761,66.0622808995,224066.0,cfg1,947.880205712,272.662888951,0.209071821197,2112.7097567,1415.32163334,977.704308712,cbf4dbb3-900d-4a0b-a81b-b67e47f37c1e,2872.16462254,460.566100806,102.604227153,340078.996435,1,61973.311038,115739.82942,162365.855978,5720.6840677671535,0.0949113566087,17.2857451958,1.54102401246,603.854557304,305.173257337,100,15.6652839852,0.676773234229,2
179.05263183,0.00230459322677,580.731247954,236.403058951,277.259655381,224066.0,cfg1,39.0578476243,256.484870196,0.936480852989,2094.33746999,1420.9312294,679.615129417,4e19b715-560c-4cbb-a659-8efba333d644,2735.87771894,549.271554493,110.409575883,339616.485355,0,61278.5601229,116224.700272,162113.22496,5710.783302881552,0.0661653820219,17.4532996207,0.807958377945,511.724669851,319.019770943,100,15.9124491135,1.41830294175,2
179.629419608,0.0018129822642,648.105087378,977.590649479,257.184160233,224066.0,cfg1,95.8117477209,434.754763607,2.21794333382,2113.99310118,1392.4385053,1109.75914088,bd6b714e-47c8-4a7e-9c53-e083d479bad2,2641.18999427,693.302578621,168.157308044,341312.723253,0,60986.3195629,117475.441395,162850.962295,5703.90457224283,0.0879975912495,17.4789787239,1.57115373561,1098.76084845,418.666068607,100,15.8768048893,0.758898853001,2
179.138234217,0.0106254344672,663.577061756,851.238784025,294.668360392,224066.0,cfg1,792.748663916,331.558698574,2.72790647929,2033.39055236,1400.91308987,653.668104776,a773df05-c125-46c0-8bd1-1d4310dd888e,2704.05456961,566.084280022,344.591809514,341085.115587,1,61785.9789768,117110.529488,162188.607122,5708.471462851277,0.366675995555,17.4842713068,5.88339842246,1574.63857007,442.487631664,100,15.6467851531,2.88397112584,2
179.434679928,0.00373627841572,168.806472944,657.9896413,15.5409482669,224066.0,cfg1,411.776744935,252.916635434,0.872260863138,1871.74467557,1201.31924454,734.484858383,ce79d90c-a679-4ab7-9330-a749f24a555d,1675.71522031,588.670822829,24.2719622971,329582.653393,0,56013.0239349,116376.540367,157193.089091,5633.7662208152415,0.107643894374,17.0549886254,1.31870355561,499.329948467,300.051258827,100,15.177853325,0.31649138466,2
179.579397788,0.0083309862914,244.449507797,227.695035886,39.2115763041,224066.0,cfg1,796.65258487,198.668830604,0.744775568069,2156.50160902,1444.28092864,878.430024814,bd062ee4-ff59-4f2e-a8b5-f42d884e4ece,2963.98574677,185.87308691,330.431499082,340173.771517,3,63127.6266781,115238.96815,161807.176689,5727.3545499521315,0.239776819949,17.1907086114,2.82973224159,771.296954959,355.604386452,100,15.3805910171,2.51216416513,2
179.210845399,0.00493279363728,254.755745137,543.739897666,228.966923493,224066.0,cfg1,460.8180829,409.455849348,1.26996476228,1943.62756012,1277.70828977,679.670714185,b04f7f9d-0d7a-4c5e-a2f8-b1ff40f2877f,2109.2884958,484.909722734,118.319023327,332618.975999,0,58168.4650295,115848.674079,158601.83689,5665.263796501805,0.142727128599,17.2053719788,1.3249450549,650.055257613,349.023060479,100,15.475817472,0.106751768823,2
179.225389958,0.00400580049796,413.448985343,687.819334766,90.9892853319,224066.0,cfg1,785.438683591,148.036525419,1.14450700119,2002.06766534,1346.08854432,659.760505689,97c9c3c7-cfda-4f67-865f-0c78b99e967e,2362.45425654,396.336213287,123.744869715,334289.987577,1,59406.6867295,115431.61533,159451.685517,5683.65539986064,0.115595449456,17.3626231331,1.17835134143,595.365090937,337.040329743,100,15.7713229307,0.273051147436,2
