AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels,bomCost,BattCap,CtrlDGain,CtrlPGain,GyroSize,ixx
0.0288112444075,0.705964570256,27.0297957953,1.32353050248,0,100,4.60713377379,3,235066.0,81.6279933672,4.60889746238,3.81508283124,1.19812367682,2.96830647324
0.0101165362982,0.315357864849,27.0297965444,0.710505280592,0,100,4.65188042001,3,235066.0,147.229116114,3.28972624221,1.65672482012,1.85372093814,2.62284183323
0.0275473494642,0.654108018773,27.0297968821,0.249236288311,0,100,4.63786266991,3,235066.0,134.876965205,2.2565211186,4.0718861009,0.960659041606,1.41096274203
0.0262699923091,0.649462451882,27.029795617,0.483661320433,0,100,4.6414637498,3,235066.0,138.708289504,3.39196330773,3.79701600353,1.52065586095,1.58989258106
0.0182054104333,0.461823710803,27.0297963503,0.745734817401,0,100,4.61430851247,3,235066.0,92.5466368564,3.90603745661,2.57643261999,0.995285629404,2.12062694986
0.0343146435821,0.840738863337,27.0297961697,0.342722638171,0,100,4.6151121096,3,235066.0,96.3764015497,3.64465216729,4.72119266941,1.12219756591,1.00020812316
0.0193477194368,0.471907387779,27.0297964379,0.466239198881,0,100,4.60692576529,3,235066.0,84.8148881204,3.5290234927,2.85721072154,1.78235649694,1.50231498009
0.00490557881843,0.140544840124,27.0297962933,0.267812665242,0,100,4.61584606558,3,235066.0,101.743620325,1.96754812598,1.36497642332,1.15105213323,2.31828500618
0.0169524119546,0.412208342948,27.0297961904,0.179702073597,0,100,4.6238523284,3,235066.0,116.841753731,2.09764590445,2.86751694819,0.632728784915,1.23323334961
0.0311150922076,0.664636211189,27.0297959446,0.519065759809,0,100,4.62774195655,3,235066.0,116.256052757,1.32767440711,4.33088895844,1.34412448865,2.74309661741
0.0100917816641,0.326037530204,27.0297967668,0.607152860288,0,100,4.62121291898,3,235066.0,93.4724638426,3.40348947483,0.563443577207,1.90331815218,2.22567721731
0.0154863332529,0.419355004097,27.0297962657,0.914999685046,0,100,4.63358988005,3,235066.0,120.666400151,3.7757880116,2.24267278485,1.32309347668,2.7440289692
0.00602236119707,0.168774289123,27.029795407,0.319877558129,0,100,4.61551212073,3,235066.0,93.5388778386,2.18554216316,0.640251249256,1.61258138798,2.40066766455
0.0171369067748,0.396526095004,27.0297964228,0.158902747731,0,100,4.61965890829,3,235066.0,111.265038648,1.62929337858,2.89169702627,1.49244783915,1.58938208168
0.0276848782404,0.592574281789,27.0297973366,0.366290960152,0,100,4.64378345782,3,235066.0,142.310519621,1.30923337316,3.9659772906,1.09954113134,2.18012907653
0.025725065937,0.631016068331,27.0297957149,0.496743992565,0,100,4.63908751147,3,235066.0,136.416807728,3.02075035858,3.7841861041,1.24096743547,1.90013784526
0.0285338393939,0.683995642234,27.0297966539,0.539491629537,0,100,4.61499478616,3,235066.0,100.425473107,2.3963830138,4.19382389839,1.7430703978,2.78743515804
