AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels,bomCost,BattCap,GyroSize,PID_D,PID_I,PID_P,ixx
0.0851153625584,1.75679572004,16.0316230795,52.6459353154,None,100,4.25556556408,2,209066.0,253.497034509,679.226430641,-16.935051616,-183.824212403,260.647929854,1.74323022473
0.0851152124127,1.75679707465,16.0316232817,52.6457254558,None,100,4.29883505765,2,209066.0,286.218760385,781.03589742,26.9144488053,-114.550469047,271.925776445,1.15693584371
0.085115329922,1.75679759905,16.0316228832,52.6365923317,None,100,4.18675827031,2,209066.0,205.965099167,251.866555726,31.2371524783,665.736289456,299.041721935,1.60341759522
0.0851153033151,1.75679668005,16.0316228164,52.6461061183,None,100,4.05125303608,2,209066.0,127.441904334,801.393563949,-29.2402581434,334.917487654,191.690594619,0.95710840006
0.0851153051013,1.75679674123,16.0316228588,52.697272394,None,100,4.33731382554,2,209066.0,317.240357334,563.501846252,-15.3771487236,-709.761773071,288.964640012,1.7959700256
0.0851153918613,1.7567959251,16.0316241406,52.6459764687,None,100,4.24919150865,2,209066.0,248.861978448,59.5204197655,-12.9696367529,-29.0579965916,223.494082127,1.13017472201
0.0851152216436,1.75679909145,16.0316247477,52.6439026862,None,100,4.39765472612,2,209066.0,369.992025742,900.292387401,-37.7983799124,-363.309831769,196.651681713,1.22395285621
0.0851152483366,1.75679517127,16.0316243069,52.6459006939,None,100,3.94245133123,2,209066.0,108.528402166,497.466002007,25.6403490305,801.530600971,171.904526622,1.06213587622
0.0851152728692,1.75679691373,16.0316228435,52.6339345613,None,100,4.10393992595,2,209066.0,155.668633662,235.551840752,15.1652305542,-362.788697917,298.890735377,1.45662159136
0.0851153657076,1.75679702598,16.0316227851,52.6463494351,None,100,4.43724416118,2,209066.0,407.538226805,544.055978097,34.9974917928,435.680927495,196.516509969,0.908578240404
0.0851152690753,1.75679614518,16.0316230601,52.6459219367,None,100,4.375307072,2,209066.0,349.824868418,854.224400204,30.7758141041,645.451911451,298.099118877,1.85666262284
0.0851151546387,1.7567997501,16.0316229377,52.6476982597,None,100,4.31697249454,2,209066.0,300.581938992,951.803797708,-49.4128205349,-464.488038226,262.283485757,1.37316178358
0.0851152680508,1.75679774175,16.0316236594,52.6243002614,None,100,4.51382704799,2,209066.0,488.235827822,827.374821826,17.4464343869,892.064029811,156.01887922,0.836327897621
0.0851153524734,1.75679859077,16.0316239645,52.6333573126,None,100,4.46256843247,2,209066.0,432.974673719,223.603004917,43.7563948412,-892.201672999,185.458628531,1.66319008324
0.0851153188234,1.75679619513,16.0316227118,52.6461788072,None,100,4.15436550158,2,209066.0,185.407681696,739.986661295,-46.4621432551,-657.906628367,222.646709549,1.20905575112
0.085115261367,1.75679546766,16.0316227151,52.6461116209,None,100,0.73036286811,2,209066.0,64.6856543641,697.084944352,-11.1660645213,-857.763868439,229.384705785,1.61719981151
0.0851153255809,1.75679526127,16.0316235994,52.6458653749,None,100,4.42392278225,2,209066.0,394.679692696,355.245160861,-4.84887894348,-318.751067632,216.729462879,1.40078539683
0.0851152528079,1.75680042224,16.031622914,52.655034378,None,100,4.1735944249,2,209066.0,197.521323526,940.418162712,-43.7642502516,-990.009097188,298.063600131,1.1453730206
0.0851153291428,1.75679680161,16.0316242944,52.6458807316,None,100,4.29363589814,2,209066.0,282.207435669,939.893925094,-28.6193946036,338.492552914,181.414157218,1.29069389258
0.0851152938055,1.75679521374,16.0316237268,52.6460050789,None,100,4.47082222518,2,209066.0,441.487241375,684.047285886,-34.5846428127,207.401248169,287.788153361,1.29770574787
0.0851152657396,1.75679656246,16.031623971,52.6463129819,None,100,4.49493534908,2,209066.0,467.164971423,865.419199432,21.0988216399,-964.84395136,176.20250736,1.59951979339
0.0851152413197,1.75679805865,16.0316226997,52.6462759207,None,100,2.08200162621,2,209066.0,83.2318712522,412.295073307,12.3401190234,-348.324016551,208.702329354,0.945028286889
0.0851152279952,1.75679658,16.0316226967,52.646401533,None,100,4.04508715643,2,209066.0,124.393817171,440.799363829,-4.46537124724,-330.620253733,289.816822211,1.87330131704
0.0851153373731,1.75680014203,16.0316232445,52.6839528658,None,100,4.46135090843,2,209066.0,431.709047471,234.604041838,11.7883909317,-910.293573112,156.897692784,0.802212198028
0.0851152699846,1.75679476976,16.031622731,52.6461894616,None,100,2.65049828997,2,209066.0,56.1210180007,900.553403827,-29.9578296733,316.290799365,228.798245232,1.3140343459
0.0851152195241,1.7567953292,16.0316228448,52.6443533706,None,100,3.14029224716,2,209066.0,54.2930624124,187.584302629,-38.8545991597,839.813237486,227.514222504,1.46435708925
0.0851153047018,1.75679722835,16.0316227617,52.6936335621,None,100,4.18500603191,2,209066.0,204.82577024,413.261886266,-21.7518720069,-524.454351149,156.147053457,1.75660641556
0.0851152604427,1.75679582433,16.0316228272,52.6465820635,None,100,4.25486146066,2,209066.0,252.938981424,983.757725302,18.5951744414,-65.5628312269,241.787764649,1.86227026996
0.0851153224207,1.75679516225,16.0316227279,52.6459649555,None,100,4.20586581991,2,209066.0,218.601209189,491.751117175,18.1307757058,817.587772001,264.251033992,1.58733605967
0.085115282748,1.75679580986,16.031623497,52.6407213713,None,100,4.37166897755,2,209066.0,346.593661027,726.20739048,-22.6235411959,233.625897685,235.626295374,0.917082117962
0.0851152482431,1.75679705124,16.0316242232,52.6456419074,None,100,4.41364842463,2,209066.0,384.797306026,518.141366194,39.8266187689,571.179276822,277.012691131,1.14247758863
0.085115270536,1.75679914659,16.0316227874,52.6460882974,None,100,4.24028576008,2,209066.0,242.420274046,653.002336404,13.4078695476,423.42925564,201.850794506,1.79335202912
0.0851152711308,1.75679550267,16.0316236453,52.6459187383,None,100,4.43353162136,2,209066.0,403.929001472,609.68951044,7.5426390889,986.691601962,266.749718063,1.22165244215
0.0851151767764,1.7567953783,16.0316232036,52.6266709661,None,100,4.51687574601,2,209066.0,491.563939664,179.468885576,13.0739497735,-963.256406533,252.736136358,1.8392289894
0.0851153121168,1.75680412612,16.0316236709,52.6480917293,None,100,4.50002295453,2,209066.0,472.789827569,403.855554063,-40.6159778626,306.782228796,268.988233173,1.1952376206
0.0851153516491,1.75679778264,16.0316226889,52.6460141346,None,100,1.95269739807,2,209066.0,58.9640661032,842.231376461,-8.63858096671,-738.161677396,274.369774624,0.864094237461
0.085115259569,1.75679722453,16.0316228061,52.6464769666,None,100,4.07651455004,2,209066.0,140.644560386,451.953603151,5.29634978153,-660.969591056,173.84351115,1.37830162195
0.0851153061419,1.75680001961,16.031622852,52.6458185434,None,100,4.19225714997,2,209066.0,209.548888931,913.774083974,12.7892151324,885.074894282,241.745090309,1.44437318066
0.0851153244865,1.75679912564,16.0316228324,52.6516174317,None,100,4.12023734727,2,209066.0,164.97357352,403.140441806,40.228028756,498.13689437,225.839442332,1.09079994547
0.085115134283,1.75679888141,16.0316233064,52.6248968267,None,100,4.37313721091,2,209066.0,347.882038475,290.114651065,-0.397892195537,619.412133776,176.614940271,1.5951118902
0.0851152645412,1.7567954634,16.0316235258,52.6456917586,None,100,4.44639844171,2,209066.0,416.576065566,368.330183932,6.54345582415,-277.915774882,285.76798446,1.72125441578
0.0851152585382,1.75679609035,16.0316241174,52.646255581,None,100,4.45452960756,2,209066.0,424.788435718,473.928667278,-21.5678340195,-318.185221024,293.357621889,1.52900567425
0.0851153469042,1.75679779575,16.0316232026,52.6462585533,None,100,4.41630786369,2,209066.0,387.400178019,593.572899469,-18.0228486875,-965.390933128,295.915192207,1.66272508918
0.0851152391926,1.7567995294,16.0316234165,52.6459434521,None,100,4.49331998113,2,209066.0,465.525240032,146.335494268,-35.5650266139,-960.950204113,269.770121237,1.50091481141
0.0851152625691,1.75679575991,16.0316227791,52.6460598562,None,100,4.45105164255,2,209066.0,421.330047359,751.317723658,49.8671871257,316.95136466,183.436286079,1.18824351529
0.0851152140979,1.75679279756,16.0316227309,52.6461090288,None,100,4.02570485637,2,209066.0,114.794012699,506.873899416,46.8043888674,-44.561010403,253.301182387,1.64801594734
0.0851152346857,1.75679618819,16.0316228507,52.6451239701,None,100,1.76486933257,2,209066.0,80.6540358175,103.081417969,-40.4198977067,-818.739945624,164.970634013,1.02004110639
0.0851152653537,1.75679662668,16.0316232334,52.646370642,None,100,4.38861115166,2,209066.0,361.794746233,623.888362615,-42.8093115694,-71.4807722319,202.668371788,1.9273082929
0.0851152861181,1.75679674355,16.0316238314,52.6446786456,None,100,4.40382965115,2,209066.0,375.608849901,665.410307604,-0.551638311921,-844.947976497,287.380118025,1.153635581
0.0851152377829,1.75679727915,16.0316227871,52.6459730982,None,100,4.18997158539,2,209066.0,207.994973488,143.979572012,-15.8723380267,794.51683418,174.337303023,1.61963503139
0.0851152644479,1.75680283347,16.0316238037,52.7846797474,None,100,4.31385269587,2,209066.0,298.087850631,189.952278432,-33.7013789467,-830.742264209,260.92760487,1.52155877277
0.0851153404536,1.75679915058,16.0316228202,52.6462535736,None,100,4.08377860173,2,209066.0,144.534181506,905.920321386,-34.5454421058,670.66128746,157.95002323,1.15234373005
0.0851151936295,1.75679734003,16.0316234647,52.6460674285,None,100,4.34309605898,2,209066.0,322.013415694,358.649201045,30.2644421092,-363.258204565,183.774393773,0.99274838087
0.0851152928691,1.75679610947,16.0316227283,52.6464912008,None,100,4.16773392257,2,209066.0,193.813238214,492.326480742,18.6754058942,-533.770459335,153.616553749,1.53626394428
0.0851153166653,1.75679605428,16.0316251613,52.6556452172,None,100,4.18496341517,2,209066.0,204.839460406,753.589190595,10.1740713204,-561.879677474,285.978182816,1.0125489017
0.0851153708262,1.75679715137,16.0316234229,52.6458710692,None,100,4.34318275735,2,209066.0,322.128449177,488.958870614,17.5535592983,489.610959592,287.285727748,1.63168915136
0.0851153121549,1.7567944844,16.0316227382,52.6447696107,None,100,4.17225253829,2,209066.0,196.617949541,104.675663488,49.1120210987,-488.954063487,223.196373703,1.56810269124
0.0851152712847,1.75679704685,16.0316227772,52.6463365356,None,100,4.08117264794,2,209066.0,143.143862015,388.001011795,5.51157899743,-156.11677614,246.640336033,1.39816377858
