PV_Panels,bomCost,Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,Angle,BattCap,BattX,BattZ,CompX,CompZ,CtrlGain_D,CtrlGain_P,GyroSize,GyroX,GyroZ
3,235066.0,877.661777129,1973.807863,1152.66074434,265146348310.0,2,60352007998.7,80896214305.8,123898126006.0,6277.425472843556,0.00442450166561,0.108188289612,27.0297961106,0.359881293441,0,100,4.62630245924,75.7630205737,116.805943685,906.704485835,65.3934636016,703.09903591,144.986276055,0.670874716317,0.51848382792,377.691065229,722.36620522,266.007994105
3,235066.0,1023.98764205,1971.99617761,1230.07535113,321369715525.0,3,60486025970.3,108481280548.0,152402409007.0,6277.425472843556,0.00184887296092,0.0448397890555,27.0297949485,0.0321751206073,0,100,4.73422993821,106.594509851,276.863447658,427.213366013,15.1319682449,971.417967872,188.025121317,0.745785836898,0.826531510132,687.083191764,926.618988185,111.461579461
3,235066.0,854.857804752,2044.31944119,1287.44778391,382469818780.0,0,65862483502.5,134837508826.0,181769826451.0,6277.425472843556,0.00514544148742,0.125696069457,27.0297962856,0.0908559919968,0,100,4.7732185878,170.781812955,326.339652659,125.019627196,11.2445411155,203.604217004,57.1392966943,0.337786006959,0.502583864595,963.269365226,595.190381225,437.930911128
3,235066.0,954.362204762,1994.136822,1241.37362454,219757819502.0,0,61438934679.9,58252502502.6,100066382320.0,6277.425472843556,0.00303970838086,0.104315876918,27.029795801,0.101813095589,0,100,4.76899123499,50.8658723915,321.080043593,820.36114909,109.781214415,393.351769853,187.048334991,0.159375240952,0.896416677508,769.599564955,445.456701691,491.95281334
3,235066.0,908.318471162,2054.2078115,1182.30645791,381328292910.0,0,65543960055.6,133385300123.0,182399032731.0,6277.425472843556,0.00513895089182,0.125137847299,27.0297967804,0.102507811111,0,100,4.75535631781,178.883876617,299.485294717,303.286618057,292.510342595,9.60614549339,164.861507547,0.238696643618,0.535512036632,282.239963284,575.760168421,29.4386323015
3,235066.0,1059.69242882,2016.4601645,1279.71404874,362000547085.0,0,62522801593.5,126709196762.0,172768548730.0,6277.425472843556,0.00621641284326,0.150638630237,27.0297958957,0.111222167414,0,100,4.60051711097,147.310298923,74.8700696365,616.518823447,115.261388891,75.9185858936,444.198201746,0.138523443669,0.418902427489,295.189898556,4.84509633895,19.7454315867
3,235066.0,1080.36486007,2009.76860746,1205.04498175,207749038866.0,0,61255469556.6,52228085048.0,94265484261.4,6277.425472843556,0.0074105157828,0.183447944123,27.0297952712,0.0912254612374,0,100,4.75569735361,41.1050650021,297.739795815,827.442571745,27.9829067544,317.308480453,457.461008376,0.306207501963,0.213626782468,540.948994002,715.139158444,458.24021512
3,235066.0,864.111654729,1986.0367039,1154.23209449,195346836871.0,1,59913414599.0,46015338454.8,89418083816.8,6277.425472843556,0.00619655325587,0.151220277246,27.0297974063,0.0587333012256,0,100,4.68213804332,36.5716975423,194.872642939,815.229707178,123.813539191,722.601057069,248.749062629,0.558409974722,0.322910080283,450.433168883,540.574817016,74.6564516901
3,235066.0,1094.62081521,2064.91014678,1122.24126027,161612911757.0,1,60075506087.4,29105035022.9,72432370646.7,6277.425472843556,0.00592039516942,0.144779516541,27.0297963109,0.0586428804124,0,100,4.61703800871,13.6958879963,101.531557295,66.5672871038,118.242327047,698.448534506,394.685482631,0.558406280264,0.355864258975,646.087639556,130.914091084,147.990185133
3,235066.0,868.891893881,2035.22305364,1175.55037787,288397662406.0,0,60163659771.6,92302343089.0,135931659545.0,6277.425472843556,0.000859486838159,0.0289271177263,27.0297951583,0.0284676028991,0,100,4.73155102677,93.6520245342,273.764771901,287.182294995,265.062313832,301.611477095,444.68670515,0.761059808072,0.979300660231,407.685564111,44.9224773461,2.70974255123
3,235066.0,1112.06153844,2065.55893518,1127.31912459,364960665586.0,1,63238247903.2,128208130128.0,173514287555.0,6277.425472843556,0.00559770449469,0.131463259991,27.0297948735,0.0357600588476,0,100,4.87821561111,147.058803724,479.726620803,275.884668986,247.251548239,992.741181386,264.502806582,0.765232190427,0.378327044672,105.836310623,375.060654033,328.569028835
3,235066.0,887.161304491,1976.58954858,1179.69235416,373294074999.0,1,63563994413.9,132355956665.0,177374123920.0,6277.425472843556,0.00353853040475,0.0833718320861,27.0297960257,0.0233421765673,0,100,4.73557702066,147.310352827,275.945466566,740.147459854,41.9165233749,886.041399659,249.931278896,0.847655308019,0.60651643403,261.949937761,830.348959281,401.273922032
3,235066.0,860.530703984,1998.68469755,1189.18081995,319264869218.0,0,61993374177.8,107429351481.0,149842143559.0,6277.425472843556,0.00683091005827,0.167447989038,27.0297963496,0.0726857741663,0,100,4.64617521581,106.577719067,142.360078251,516.569277075,125.647465159,647.991270258,152.875248895,0.465600486963,0.260308411454,655.757678324,684.639107917,488.281653421
3,235066.0,1010.35202652,1981.86018334,1201.90834179,330095504205.0,0,60980329952.2,112464463349.0,156650710903.0,6277.425472843556,0.00821925509357,0.175879312558,27.0297978984,0.0516202103282,0,100,4.68476562269,117.513090982,196.862732031,70.271832653,71.8570040704,522.343330956,378.357539005,0.907727215436,0.119153947286,332.357686469,496.657742809,163.392339786
3,235066.0,993.771980227,1985.29961055,1152.01743317,316772203550.0,1,60887699190.3,106137539303.0,149746965056.0,6277.425472843556,0.00132701196657,0.0323554340116,27.0297946802,0.0127878898601,0,100,4.7759529052,108.087192809,338.476340705,263.755387122,288.036317333,774.223824189,220.919080775,0.90712933072,0.854761862549,344.742976437,528.841831957,238.303600773
3,235066.0,933.040897521,1989.73282932,1301.89344364,379145503852.0,1,65380377817.9,133138013969.0,180627112065.0,6277.425472843556,0.00611609339264,0.147587646376,27.0297948323,0.0515102479596,0,100,4.76362977298,171.139873655,312.157270243,913.118682288,4.24750246137,572.890732179,183.998047417,0.670121905098,0.316779469909,360.371560707,337.882284556,335.351149858
3,235066.0,870.958473381,2064.6405416,1360.35805067,171663605519.0,0,60177930472.1,34131860966.2,77353814080.6,6277.425472843556,0.00411305748751,0.102278510264,27.0298065994,0.0535194228383,0,100,4.5955647884,15.8236642854,72.1099193809,2.90672500684,263.845649165,154.071666059,148.87685796,0.584242752632,0.567989158367,640.017884776,770.964112966,184.713640394
3,235066.0,916.966517008,2029.49906291,1368.31536901,378855699228.0,1,63941505542.5,134603938886.0,180310254800.0,6277.425472843556,0.00272170751812,0.0932488991079,27.0297985673,0.090847223046,0,100,4.64993874541,154.023026448,150.385247288,134.850011821,114.860984816,392.018221988,343.316899587,0.284128726242,0.858431929174,505.673660895,879.242294419,367.382426808
3,235066.0,1010.69039719,2010.82975798,1294.14609264,378007346587.0,0,65745988517.7,132657514633.0,179603843436.0,6277.425472843556,0.00556804165945,0.137319141564,27.0297966701,0.0899893731145,0,100,4.8525007073,170.288016075,441.238431481,674.91449589,213.820862116,160.088784541,29.5667823405,0.348948801745,0.440539863835,939.253891703,60.2295911435,420.161786233
3,235066.0,903.118291272,2062.10893794,1330.08895599,334691488030.0,2,61619965720.3,114932970197.0,158138552113.0,6277.425472843556,0.006012350196,0.138655154576,27.0297971828,0.0364719614879,0,100,4.73854576191,113.026095827,277.366315422,306.473942141,167.565149495,387.190153147,461.856741816,0.785375814481,0.337016023972,690.448274451,991.288689364,381.493625456
3,235066.0,1166.2153826,2015.18011648,1219.49885715,297233279025.0,1,61454160987.7,96685947018.6,139093171019.0,6277.425472843556,0.00504825289673,0.12524647638,27.0297950332,0.0644105305818,0,100,4.79234596271,95.4446934764,354.189164663,69.6956763902,218.477099486,868.036959815,232.951690919,0.509795708182,0.466778763611,192.460542786,497.992814696,440.600992645
3,235066.0,935.201375244,1978.72225558,1251.11884688,213836052643.0,3,59883235498.3,55278313730.8,98674503413.8,6277.425472843556,0.00187149883748,0.0461951423699,27.0297951722,0.0273636497188,0,100,4.58450164786,43.9059546744,58.6296078325,429.27987858,249.878011033,751.997046084,30.8911574183,0.783072893452,0.811335322763,189.890571835,937.260867255,19.978719702
3,235066.0,1007.50046604,2023.11733684,1123.18891682,361440912734.0,1,62256294977.7,126729493944.0,172455123813.0,6277.425472843556,0.00818438728977,0.18377892762,27.0297988394,0.0509415137633,0,100,4.72088785016,143.179142358,249.012026544,415.214971334,70.5998106527,891.313759597,327.284700917,0.781023557883,0.106752243086,690.949030172,498.073611098,87.5641464835
3,235066.0,876.860294873,2125.84991564,1393.76468479,295390280578.0,2,60700100024.1,95844420109.5,138845760444.0,6277.425472843556,0.00391443932928,0.0860440056087,27.0297947921,0.0240400233672,0,100,4.82467569591,91.0202801236,404.504188663,66.9579606881,274.531653028,120.035726273,483.258094875,0.922556973652,0.576232383908,159.918372954,896.292217291,294.14510229
3,235066.0,888.424413928,2100.11543171,1215.33723554,381478401703.0,2,63554651132.1,135533768627.0,182389981944.0,6277.425472843556,0.00439615712788,0.107388878563,27.0297959408,0.0449964281501,0,100,4.66565429876,158.44377894,173.469357286,465.945731386,224.049432503,226.973522218,322.488360313,0.679916478338,0.520593210712,223.255019285,926.943760639,123.424320774
3,235066.0,1011.51748652,2152.98675197,1165.08632385,289479239096.0,2,60079283618.5,92948932919.2,136451022559.0,6277.425472843556,0.00694070049604,0.169861150864,27.0297947005,0.0696347681101,0,100,4.59832623002,87.0143693619,72.9732981713,667.954235563,188.175025521,134.512327149,315.089783886,0.474477202618,0.245953050171,844.016242347,972.866521088,87.9021969252
3,235066.0,1103.14932877,2114.90649916,1181.75760922,339764830123.0,2,61874842037.8,117356138854.0,160533849231.0,6277.425472843556,0.00579861860006,0.126053766622,27.029795101,0.0365142845387,0,100,4.76355954759,116.072738749,312.711483297,885.068273002,49.6018412955,220.99201454,280.775292414,0.905992115601,0.37487420313,178.358701838,978.589523067,414.848090759
3,235066.0,1064.56105292,2164.19804653,1150.18503938,287914420562.0,1,60228000074.0,92072194031.3,135614226456.0,6277.425472843556,0.00768342573536,0.176444638537,27.0297987122,0.0456700232011,0,100,4.62915000044,93.0197228237,118.040765417,369.691152463,251.863104968,979.057755513,450.515007758,0.736753300494,0.154135929851,993.829669157,151.244567165,107.617778569
3,235066.0,876.695336253,2059.6952511,1263.82817331,376287237980.0,2,62871199956.0,133540666274.0,179875371750.0,6277.425472843556,0.00776219394773,0.192069266796,27.0297952424,0.0973640628532,0,100,4.59503155038,151.324276185,66.2071293517,393.03245738,263.315617728,505.388788971,446.265794986,0.278642518916,0.175548881541,358.024663605,922.527733933,13.322810304
3,235066.0,907.461328602,2012.73766898,1152.90058112,233996277619.0,0,60605305842.6,65374758694.8,108016213082.0,6277.425472843556,0.00218039488644,0.0759349738089,27.0298023153,0.0726449308523,0,100,4.61709880381,61.5968210296,104.335046558,320.476968581,84.0726447074,615.685059254,201.708719574,0.388573809557,0.984292950416,926.159717916,227.416636076,341.209815208
3,235066.0,1116.06326986,1984.77843075,1360.04763346,338470053267.0,0,61415533571.0,116305793239.0,160748726457.0,6277.425472843556,0.00440622852178,0.109573424564,27.0297970154,0.0590428962168,0,100,4.84141016843,125.279367539,428.165257604,829.548409227,270.472268621,120.981477843,415.489943655,0.55038314725,0.538097715779,818.72166468,63.2079858914,180.739772604
3,235066.0,1001.17999508,1976.84032088,1180.07871943,379181123874.0,0,64813332173.0,133303493816.0,181064297885.0,6277.425472843556,0.00527309882426,0.115790182186,27.0297968086,0.0345971244687,0,100,4.61237325224,169.715081417,95.507118829,155.935287062,294.234443308,678.788234594,213.697633062,0.897400079202,0.429354566879,118.20494168,515.169262541,198.648173865
