PV_Panels,bomCost,Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,Angle,BattCap,BattX,BattZ,CompX,CompZ,CtrlGain_D,CtrlGain_P,GyroSize,GyroX,GyroZ
4,249066.0,852.055902236,2003.54825372,1161.25947421,425523463200.0,1,69540052236.3,153158266831.0,202825144133.0,6525.486389342852,,,0,100,0,100,0,177.442572014,267.158389517,691.224885927,104.940830901,691.465812892,45.7867736419,0.983338645016,0.191829873204,131.002178385,633.808359693,406.315861327
4,249066.0,1311.66150091,1997.60885251,1418.19208709,319665677170.0,2,63425718890.5,105415141474.0,150824816805.0,6525.486389342852,,,0,100,0,100,0,86.7748913177,143.569079369,12.7516287288,114.641046368,940.116186412,486.058426294,0.618085234351,0.464247530336,426.734593102,881.533967374,160.314276305
4,249066.0,867.887102615,1999.73058104,1157.23281007,383674459706.0,0,65670379904.3,135861550349.0,182142529453.0,6525.486389342852,,,0,100,0,100,0,128.046284977,72.4648580195,335.07083335,135.862997524,203.48484222,20.0478438345,0.620647001941,0.210390330402,365.511683242,148.113691855,359.100100078
4,249066.0,1023.80935861,2016.65086545,1130.14586752,282614098976.0,2,63397782201.0,87247606966.6,131968709808.0,6525.486389342852,,,0,100,0,100,0,68.4534081045,208.794284953,994.75548394,292.3738982,429.384814347,370.101684304,0.373241029901,0.462931246252,339.188421013,846.800814535,261.729197479
4,249066.0,863.726346105,1997.63250015,1189.45001374,305355458514.0,1,63737469876.6,98349359236.3,143268629401.0,6525.486389342852,,,0,100,0,100,0,82.9135293365,91.4733989268,821.002189835,139.363716913,688.086122122,62.8358141654,0.270334539915,0.395268475363,355.561336703,451.983601985,294.980608686
4,249066.0,906.096630615,1981.38380099,1159.64078376,422028859950.0,3,66792617631.9,153399944983.0,201836297335.0,6525.486389342852,,,0,100,0,100,0,153.758513971,467.341463845,637.779173782,225.87529566,882.353643574,422.584300887,0.478016075525,0.395901175477,978.905872664,938.286717727,218.003612593
4,249066.0,866.116901674,2000.44197821,1136.06305101,421121723424.0,1,68368439863.8,151061227023.0,201692056537.0,6525.486389342852,,,0,100,0,100,0,176.321857205,85.3624626174,660.635346652,32.3606500939,826.676843718,41.779175293,0.360000984002,0.435658612502,192.180582289,484.925781212,105.60957141
4,249066.0,909.244716472,2071.60904949,1176.30998007,222783421330.0,0,63127283256.3,57646617249.3,102009520824.0,6525.486389342852,,,0,100,0,100,0,38.743339311,230.047339874,541.394823771,36.9271862163,219.795991686,8.64034062892,0.403641971642,0.43101198499,343.566055078,794.305554625,292.546691418
4,249066.0,1117.66805431,1979.56655326,1292.92245521,417213314341.0,1,67443631996.2,150066122890.0,199703559454.0,6525.486389342852,,,0,100,0,100,0,165.442977344,112.983870803,916.092652062,215.522530493,192.505922743,271.237203434,0.998628931473,0.680956923141,792.956774403,280.903619174,98.1199424598
4,249066.0,976.44856918,1980.57559308,1273.41765267,350230557552.0,0,64315083272.9,120058982884.0,165856491396.0,6525.486389342852,,,0,100,0,100,0,107.66728034,493.430463205,700.602144602,246.040739337,240.734146691,385.587264733,0.502701805926,0.514788488523,728.57713572,94.6476529943,242.624275558
