Angle,Mass,MinBatteryCharge,CtrlGain_D,Iyy,bomCost,Izz,CtrlGain_P,MaxBusVoltage,PV_Panels,CompZ,Dist_2_3,CompX,GyroSize,BattX,Dist_1_2,Dist_1_3,MinBusVoltage,GyroZ,Ixx,BattZ,GyroX,InertialTensor,MaxTemperature,MaxGyroCurrent,AverageAngleError,BattCap,MaxAngularError,Interference
172.60963984,6277.425472843556,100,2.09044651716,131496660779.0,235066.0,179841467819.0,1.11046379324,27.0297962621,3,240.902541518,1163.79944407,439.89003459,2.58762301283,344.021407359,855.431770245,2009.52801623,4.69054899766,16.5595719102,64834368287.9,232.374947666,112.822640913,376172496886.0,0,0.139026036092,0.00393308155138,207.313753401,0.133375254236,0
175.085333586,6277.425472843556,100,2.99738615728,132497544089.0,235066.0,180563569819.0,0.600339060775,27.0297958301,3,116.990648083,1169.75146997,867.341019669,3.42813211052,81.5964250301,1160.63304735,2060.98990202,4.58192716729,298.201124784,65646255760.7,32.2882125271,289.463749508,378707369669.0,0,0.251109698139,0.0085534203839,38.5343151416,0.27284652244,1
163.658157555,6277.425472843556,100,0.721920124322,132479745235.0,235066.0,178744806456.0,2.70408688383,27.0297972869,3,220.391450638,1355.61571438,156.198802031,2.47026760444,942.683023324,1158.34790725,1980.68217856,4.68220088296,421.296861603,65108012832.1,247.08309526,199.081296128,376332564523.0,0,0.115230329248,0.0164618432223,201.148778757,0.320582619473,1
178.040810644,6277.425472843556,100,2.04672897032,136423822192.0,235066.0,184660312702.0,0.79276727769,27.0297969633,3,373.253304072,1280.91967628,415.630767486,3.5718594063,238.326001243,901.53615282,2013.05115577,4.59073118409,329.150745947,66130735813.5,130.703402591,827.370879844,387214870708.0,0,0.132630486955,0.00447219241948,59.5099564699,0.14286361751,0
171.282456545,6277.425472843556,100,2.57981238466,135751374858.0,235066.0,183606067909.0,1.33842884566,27.0297960096,3,33.1633315664,1136.63693012,87.8784438641,6.70559001626,609.679175663,1003.15893008,2097.04498346,4.70580918917,239.091307789,65044603578.3,140.642796117,776.566567223,384402046346.0,0,0.204066525321,0.00618485193458,228.099814631,0.207958994331,0
152.959390443,6277.425472843556,100,1.71733092885,129629692461.0,235066.0,175431065865.0,0.331409747365,27.0297964045,3,475.157600849,1150.68719103,471.240945906,4.43350404209,205.388958187,976.380977354,1984.28177826,4.58872541452,326.357514205,63670113993.1,74.9794735545,285.950067161,368730872320.0,0,0.0818251624625,0.00749873289814,54.8167578921,0.12696954503,0
160.776804915,6277.425472843556,100,0.872152749251,130700905675.0,235066.0,177587009249.0,1.35162252765,27.0297968994,3,43.0308721155,1151.85342231,943.816801777,8.16583277204,382.144406132,1026.9385108,2143.54532088,4.56951385779,215.281011688,63946989742.1,171.975918313,116.643040063,372234904665.0,0,0.0246645747307,0.00348396042203,37.6675898865,0.0631008749551,1
157.773156018,6277.425472843556,100,2.9557744508,130875791213.0,235066.0,176807606628.0,2.70500149016,27.029795761,3,232.893539288,1132.16469713,984.942735429,4.05746318249,115.659634964,1215.79353268,2130.41508053,4.75660128189,382.72706935,64360173342.1,233.790958427,187.874150789,372043571183.0,0,0.264214133555,0.0169044807009,309.395989123,0.417314068077,1
155.875499979,6277.425472843556,100,1.85730629255,131171244365.0,235066.0,176607258169.0,1.50077917204,27.0297955615,3,384.578342791,1154.02744426,544.228889343,9.12141134765,501.900952453,861.982673423,1985.63906539,4.79238650495,441.235824436,64525641231.6,247.748247272,302.046256237,372304143765.0,0,0.113383385016,0.00562612571233,361.498559397,0.139085739657,0
166.807405397,6277.425472843556,100,1.93835975434,137137034738.0,235066.0,184868004496.0,1.08859645481,27.0297964453,3,34.3375514804,1288.09967434,511.164712163,2.75930641567,326.37344682,873.988786573,2021.64573449,4.61252366318,89.043913051,64255512000.8,119.240951348,961.895995518,386260551235.0,0,0.118753939731,0.00338101829178,94.9749426084,0.114236700128,2
