PV_Panels,bomCost,Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MinBusVoltage,Angle,BattCap,BattX,BattZ,CompX,CompZ,GyroSize,GyroX,GyroZ
2,209066,1222.024726,2023.305835,872.2071869,2.95291E+11,2,58153451313,98048222444,1.39089E+11,6035.239756,0.009585897,0.238373619,16.03162433,0.123319025,3.901445815,112.0674979,61.92114892,433.2594819,265.334356,537.102108,99.61747105,798.6339975,910.652827,370.4058793
2,209066,1133.60625,2076.772124,1184.145234,1.84556E+11,1,59552621550,40938037560,84065679037,6035.239756,0.009585819,0.238373373,16.03162252,0.126283235,4.36247668,35.02606342,331.2377118,891.2354911,181.680774,126.4600775,489.606904,931.3618827,752.1180536,288.0267625
2,209066,1221.623591,2013.231114,913.8883998,3.00684E+11,0,57650741029,1.00631E+11,1.42403E+11,6035.239756,0.009585869,0.23837168,16.03162493,0.122252417,4.063447173,119.0206569,137.5342597,339.1103235,80.36829181,439.9333479,400.5662385,992.3830127,809.0969434,211.0464278
2,209066,1152.817868,1984.752642,988.4227557,3.11825E+11,0,57918736714,1.05747E+11,1.4816E+11,6035.239756,0.009585947,0.238371937,16.03162297,0.122823395,4.113374666,132.154415,164.3415297,835.1655402,84.24706784,362.3921259,260.2153685,161.7769342,565.9461886,130.1815565
2,209066,1359.179496,2042.175053,892.8045995,2.84277E+11,1,57391349872,92541022285,1.34345E+11,6035.239756,0.009585886,0.238372827,16.03162335,0.12169851,4.298144022,112.1023085,282.1137437,915.5425091,177.3519454,675.007004,47.95826799,453.1241047,146.0923952,147.0959665
2,209066,1172.376739,2019.669016,979.6302042,2.67739E+11,1,57349734781,84246840102,1.26142E+11,6035.239756,0.009585878,0.238373722,16.03162255,0.121607449,4.480117407,95.33632954,434.8261481,515.389906,288.3679225,975.1628422,448.9424666,625.6907066,770.3429712,53.70613796
2,209066,1135.969604,1989.091951,957.5546082,1.54386E+11,0,59693631494,25397763475,69294428549,6035.239756,0.009585867,0.238371849,16.0316253,0.126581656,4.153302159,11.91511352,187.120483,377.5117694,8.334143495,220.8382346,420.4800292,486.856366,382.466594,198.0771019
2,209066,1121.593683,2008.435296,938.852399,2.89559E+11,0,57866661924,95170277447,1.36522E+11,6035.239756,0.009585825,0.23837185,16.03162268,0.122707596,4.239737111,113.1220502,241.3301965,591.7308137,259.0150068,259.7125369,38.31681693,607.8687803,549.2918975,301.102149
2,209066,1286.048006,1975.412244,1027.178669,1.64022E+11,0,60495339344,30247139014,73279803481,6035.239756,0.009585877,0.238371735,16.0316229,0.128281211,4.435908663,14.54608769,393.6313328,264.3469397,36.22801709,641.0698307,472.8925116,814.1072036,773.4001745,410.9069158
2,209066,1211.619918,1993.094434,865.215898,2.26681E+11,0,58099326815,63130267346,1.05451E+11,6035.239756,0.00958596,0.238371719,16.03162273,0.123206973,4.346374663,70.27218505,318.5186433,29.52324491,204.7299309,190.5295018,217.9789083,130.1145908,491.3189143,185.5574189
2,209066,1191.04551,2166.660166,1008.415915,2.16392E+11,1,59504844675,57764664272,99122130623,6035.239756,0.009585855,0.238372224,16.03162253,0.126181184,4.386605943,63.4450561,350.9236093,354.6704092,238.7612705,897.0172136,254.9662616,794.0677548,20.60677036,468.0883128
2,209066,1262.403964,2064.172283,861.7178541,1.84256E+11,0,60348844534,40754009580,83153011058,6035.239756,0.009585906,0.238373698,16.0316228,0.127979242,4.313637172,33.77741482,293.5267592,283.6244406,127.8363755,348.5050697,1.946884409,91.09361394,764.0313633,457.1887043
2,209066,1197.922948,1973.427835,933.2223748,2.34662E+11,0,59275724018,67284079780,1.08103E+11,6035.239756,0.009585894,0.238372041,16.03162769,0.125695038,4.484338998,75.67478182,438.8029561,194.9852149,72.31724311,78.99282627,439.6723393,900.8960648,180.112484,497.0503258
2,209066,1202.513661,2030.41111,869.5109087,3.38792E+11,0,62323135091,1.14747E+11,1.61721E+11,6035.239756,0.009585879,0.238371991,16.03162696,0.132160031,4.002712289,178.0219537,107.4670708,553.2641137,178.1158787,510.2942645,356.1687148,570.3723718,140.5225958,32.22707325
2,209066,1330.628778,2048.882242,870.5879012,2.05952E+11,0,58781127865,52336195784,94834768961,6035.239756,0.009585889,0.238371909,16.03162273,0.124642263,4.527208185,57.22372372,481.7733721,691.5195233,81.09612912,508.6476177,36.58590682,610.5236186,1.467668976,281.09959
2,209066,1227.884629,1982.859443,896.5631551,2.13956E+11,3,59937962083,56192834429,97824899977,6035.239756,0.009585874,0.238371997,16.03162463,0.127102278,3.931818707,52.90634202,75.2084789,657.9118866,95.60415011,802.9296482,341.1552445,332.9791316,976.0461693,485.5929211
2,209066,1244.860311,2011.704315,1139.612173,2.94833E+11,1,57466384019,97723123848,1.39643E+11,6035.239756,0.009585819,0.238371887,16.03162261,0.121854725,4.386140077,118.1924336,350.5992858,10.81390942,201.3769546,713.6927091,488.0427844,444.369285,547.4580608,115.9940058
2,209066,1416.385658,2062.063108,890.123366,2.0068E+11,1,59453070111,49535964205,91690675863,6035.239756,0.009585915,0.238373703,16.03162293,0.126075431,4.274017678,52.34135964,264.767085,919.7199256,165.627808,681.9240407,280.8351157,315.9494127,83.16699966,393.5039474
2,209066,1215.665885,1996.644293,869.2761642,1.9877E+11,0,59704284333,48497747301,90567798975,6035.239756,0.00958587,0.238371853,16.03162261,0.126599916,4.474240879,49.83139473,429.084134,79.74055667,82.9770891,124.4521057,259.4478431,527.2245916,401.8996585,428.8918993
2,209066,1209.469666,1978.893817,905.1719937,2.36193E+11,0,57750827766,68116996651,1.10325E+11,6035.239756,0.009585878,0.238373366,16.03162546,0.122463185,4.026497446,78.07007176,118.9516354,720.1341219,188.2603663,414.2003347,245.188884,489.3724458,267.5312659,128.5315868
2,209066,1150.847114,1980.36833,898.2031237,3.05225E+11,0,58425338030,1.02663E+11,1.44137E+11,6035.239756,0.009585856,0.238371886,16.03162248,0.123891967,4.489190996,127.0549445,443.317844,531.0193223,131.1735977,253.5828027,216.6009296,958.559153,396.9961997,359.3991054
