Angle,AverageAngleError,BattCap,BattX,BattZ,bomCost,CompX,CompZ,CtrlGain_D,CtrlGain_P,Dist_1_2,Dist_1_3,Dist_2_3,GyroSize,GyroX,GyroZ,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels
75.7630205737,0.00442450166561,116.805943685,906.704485835,65.3934636016,235066.0,703.09903591,144.986276055,0.670874716317,0.51848382792,877.661777129,1973.807863,1152.66074434,377.691065229,722.36620522,266.007994105,265146348310.0,2,60352007998.7,80896214305.8,123898126006.0,6277.425472843556,0.108188289612,27.0297961106,0.359881293441,0,100,4.62630245924,3
106.594509851,0.00184887296092,276.863447658,427.213366013,15.1319682449,235066.0,971.417967872,188.025121317,0.745785836898,0.826531510132,1023.98764205,1971.99617761,1230.07535113,687.083191764,926.618988185,111.461579461,321369715525.0,3,60486025970.3,108481280548.0,152402409007.0,6277.425472843556,0.0448397890555,27.0297949485,0.0321751206073,0,100,4.73422993821,3
170.781812955,0.00514544148742,326.339652659,125.019627196,11.2445411155,235066.0,203.604217004,57.1392966943,0.337786006959,0.502583864595,854.857804752,2044.31944119,1287.44778391,963.269365226,595.190381225,437.930911128,382469818780.0,0,65862483502.5,134837508826.0,181769826451.0,6277.425472843556,0.125696069457,27.0297962856,0.0908559919968,0,100,4.7732185878,3
50.8658723915,0.00303970838086,321.080043593,820.36114909,109.781214415,235066.0,393.351769853,187.048334991,0.159375240952,0.896416677508,954.362204762,1994.136822,1241.37362454,769.599564955,445.456701691,491.95281334,219757819502.0,0,61438934679.9,58252502502.6,100066382320.0,6277.425472843556,0.104315876918,27.029795801,0.101813095589,0,100,4.76899123499,3
178.883876617,0.00513895089182,299.485294717,303.286618057,292.510342595,235066.0,9.60614549339,164.861507547,0.238696643618,0.535512036632,908.318471162,2054.2078115,1182.30645791,282.239963284,575.760168421,29.4386323015,381328292910.0,0,65543960055.6,133385300123.0,182399032731.0,6277.425472843556,0.125137847299,27.0297967804,0.102507811111,0,100,4.75535631781,3
147.310298923,0.00621641284326,74.8700696365,616.518823447,115.261388891,235066.0,75.9185858936,444.198201746,0.138523443669,0.418902427489,1059.69242882,2016.4601645,1279.71404874,295.189898556,4.84509633895,19.7454315867,362000547085.0,0,62522801593.5,126709196762.0,172768548730.0,6277.425472843556,0.150638630237,27.0297958957,0.111222167414,0,100,4.60051711097,3
41.1050650021,0.0074105157828,297.739795815,827.442571745,27.9829067544,235066.0,317.308480453,457.461008376,0.306207501963,0.213626782468,1080.36486007,2009.76860746,1205.04498175,540.948994002,715.139158444,458.24021512,207749038866.0,0,61255469556.6,52228085048.0,94265484261.4,6277.425472843556,0.183447944123,27.0297952712,0.0912254612374,0,100,4.75569735361,3
36.5716975423,0.00619655325587,194.872642939,815.229707178,123.813539191,235066.0,722.601057069,248.749062629,0.558409974722,0.322910080283,864.111654729,1986.0367039,1154.23209449,450.433168883,540.574817016,74.6564516901,195346836871.0,1,59913414599.0,46015338454.8,89418083816.8,6277.425472843556,0.151220277246,27.0297974063,0.0587333012256,0,100,4.68213804332,3
13.6958879963,0.00592039516942,101.531557295,66.5672871038,118.242327047,235066.0,698.448534506,394.685482631,0.558406280264,0.355864258975,1094.62081521,2064.91014678,1122.24126027,646.087639556,130.914091084,147.990185133,161612911757.0,1,60075506087.4,29105035022.9,72432370646.7,6277.425472843556,0.144779516541,27.0297963109,0.0586428804124,0,100,4.61703800871,3
93.6520245342,0.000859486838159,273.764771901,287.182294995,265.062313832,235066.0,301.611477095,444.68670515,0.761059808072,0.979300660231,868.891893881,2035.22305364,1175.55037787,407.685564111,44.9224773461,2.70974255123,288397662406.0,0,60163659771.6,92302343089.0,135931659545.0,6277.425472843556,0.0289271177263,27.0297951583,0.0284676028991,0,100,4.73155102677,3
147.058803724,0.00559770449469,479.726620803,275.884668986,247.251548239,235066.0,992.741181386,264.502806582,0.765232190427,0.378327044672,1112.06153844,2065.55893518,1127.31912459,105.836310623,375.060654033,328.569028835,364960665586.0,1,63238247903.2,128208130128.0,173514287555.0,6277.425472843556,0.131463259991,27.0297948735,0.0357600588476,0,100,4.87821561111,3
147.310352827,0.00353853040475,275.945466566,740.147459854,41.9165233749,235066.0,886.041399659,249.931278896,0.847655308019,0.60651643403,887.161304491,1976.58954858,1179.69235416,261.949937761,830.348959281,401.273922032,373294074999.0,1,63563994413.9,132355956665.0,177374123920.0,6277.425472843556,0.0833718320861,27.0297960257,0.0233421765673,0,100,4.73557702066,3
106.577719067,0.00683091005827,142.360078251,516.569277075,125.647465159,235066.0,647.991270258,152.875248895,0.465600486963,0.260308411454,860.530703984,1998.68469755,1189.18081995,655.757678324,684.639107917,488.281653421,319264869218.0,0,61993374177.8,107429351481.0,149842143559.0,6277.425472843556,0.167447989038,27.0297963496,0.0726857741663,0,100,4.64617521581,3
117.513090982,0.00821925509357,196.862732031,70.271832653,71.8570040704,235066.0,522.343330956,378.357539005,0.907727215436,0.119153947286,1010.35202652,1981.86018334,1201.90834179,332.357686469,496.657742809,163.392339786,330095504205.0,0,60980329952.2,112464463349.0,156650710903.0,6277.425472843556,0.175879312558,27.0297978984,0.0516202103282,0,100,4.68476562269,3
108.087192809,0.00132701196657,338.476340705,263.755387122,288.036317333,235066.0,774.223824189,220.919080775,0.90712933072,0.854761862549,993.771980227,1985.29961055,1152.01743317,344.742976437,528.841831957,238.303600773,316772203550.0,1,60887699190.3,106137539303.0,149746965056.0,6277.425472843556,0.0323554340116,27.0297946802,0.0127878898601,0,100,4.7759529052,3
171.139873655,0.00611609339264,312.157270243,913.118682288,4.24750246137,235066.0,572.890732179,183.998047417,0.670121905098,0.316779469909,933.040897521,1989.73282932,1301.89344364,360.371560707,337.882284556,335.351149858,379145503852.0,1,65380377817.9,133138013969.0,180627112065.0,6277.425472843556,0.147587646376,27.0297948323,0.0515102479596,0,100,4.76362977298,3
15.8236642854,0.00411305748751,72.1099193809,2.90672500684,263.845649165,235066.0,154.071666059,148.87685796,0.584242752632,0.567989158367,870.958473381,2064.6405416,1360.35805067,640.017884776,770.964112966,184.713640394,171663605519.0,0,60177930472.1,34131860966.2,77353814080.6,6277.425472843556,0.102278510264,27.0298065994,0.0535194228383,0,100,4.5955647884,3
154.023026448,0.00272170751812,150.385247288,134.850011821,114.860984816,235066.0,392.018221988,343.316899587,0.284128726242,0.858431929174,916.966517008,2029.49906291,1368.31536901,505.673660895,879.242294419,367.382426808,378855699228.0,1,63941505542.5,134603938886.0,180310254800.0,6277.425472843556,0.0932488991079,27.0297985673,0.090847223046,0,100,4.64993874541,3
170.288016075,0.00556804165945,441.238431481,674.91449589,213.820862116,235066.0,160.088784541,29.5667823405,0.348948801745,0.440539863835,1010.69039719,2010.82975798,1294.14609264,939.253891703,60.2295911435,420.161786233,378007346587.0,0,65745988517.7,132657514633.0,179603843436.0,6277.425472843556,0.137319141564,27.0297966701,0.0899893731145,0,100,4.8525007073,3
